Boat,Category,Club,Courses_Nat,Division,Name,Num_Courses,Points,Points_Club,Rank,Scratch,Year
C1H,S,Canoe Kayak Pontarlier,"
			3		",niveau,Carole Bouzidi,"
			4		","
			109.56		",961,"
			66		","
			12		","
			1985		"
C1H,S,Canoe Kayak De Vertou,"
			3		",niveau,Alexis Bobon,"
			4		","
			109.76		",964,"
			67		","
			16		","
			2000		"
K1H,S,Kayak Club De Rennes,"
			3		",niveau,Yves Prigent,"
			4		","
			110.28		",962,"
			68		","
			35		","
			1993		"
C1H,S,Canoe Kayak Club France,"
			3		",niveau,Hector Combes,"
			4		","
			111.82		",961,"
			69		","
			17		","
			2001		"
K1H,S,Lannion Canoe Kayak,"
			3		",niveau,Jonas Le Guen,"
			4		","
			111.85		",961,"
			70		","
			36		","
			2005		"
K1H,S,Club De Canoe-kayak Des Ecrins,"
			3		",niveau,Gael Adisson,"
			4		","
			112.36		",960,"
			71		","
			37		","
			2001		"
K1H,S,Canoe Kayak Club France,"
			3		",niveau,Yohann Senechault,"
			4		","
			113.47		",959,"
			72		","
			38		","
			2002		"
K1H,S,Ancerville-bar Le Duc,"
			3		",niveau,Theo Reby,"
			4		","
			114.75		",958,"
			73		","
			39		","
			2004		"
C1D,S,Cesson Sevigne Canoe Kayak Les Poissons Volants,"
			3		",niveau,Camille Castryck,"
			4		","
			115.52		",968,"
			74		","
			6		","
			2003		"
C1D,S,U.s.m. Saran Canoe Kayak,"
			3		",niveau,Lucie Baudu,"
			4		","
			116.59		",962,"
			75		","
			7		","
			1993		"
C1H,S,Golbey Epinal St Nabord,"
			3		",niveau,Hugo Latimier,"
			4		","
			117.47		",959,"
			76		","
			18		","
			2000		"
C1H,S,Ck De Quimper Cornouaille,"
			3		",niveau,Yves Bourhis,"
			4		","
			118.58		",956,"
			77		","
			19		","
			1998		"
C1H,S,C.k.c. Nancy Tomblaine,"
			3		",niveau,Thomas L'huillier,"
			4		","
			118.8		",954,"
			78		","
			20		","
			2001		"
C1H,S,C.k. Dormans Eaux Libres,"
			3		",niveau,Thomas Koechlin,"
			4		","
			118.82		",952,"
			79		","
			21		","
			1991		"
K1H,S,Canoe Kayak Clisson,"
			3		",niveau,Romain Bruneau,"
			4		","
			119.15		",957,"
			80		","
			40		","
			2002		"
K1H,S,Club Canoe Kayak Des Gorges De L'ardeche,"
			3		",niveau,Theo Brun,"
			4		","
			119.59		",955,"
			81		","
			41		","
			2004		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Edgar Prigent,"
			4		","
			120.24		",954,"
			82		","
			42		","
			1997		"
K1H,S,Golbey Epinal St Nabord,"
			3		",niveau,Martin Daviet,"
			4		","
			121.05		",953,"
			83		","
			43		","
			1994		"
K1H,S,Alck Bagneres De Bigorre,"
			3		",niveau,Elliot Perez,"
			4		","
			122.11		",952,"
			84		","
			44		","
			2001		"
C1H,S,Alck Bagneres De Bigorre,"
			3		",niveau,Luc Sarramea,"
			4		","
			122.34		",949,"
			85		","
			22		","
			1999		"
K1D,S,Red Star Club Champigny,"
			3		",niveau,Nina Pesce-roue,"
			4		","
			123.76		",958,"
			86		","
			13		","
			2005		"
C1H,S,Golbey Epinal St Nabord,"
			3		",niveau,Quentin Maillefer,"
			4		","
			124.04		",947,"
			87		","
			23		","
			2005		"
K1H,S,Canoe Kayak Aturin,"
			3		",niveau,Fantin Delage-garez,"
			4		","
			125.18		",951,"
			88		","
			45		","
			2003		"
C1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Jason Brothier,"
			4		","
			126.46		",944,"
			89		","
			24		","
			1994		"
K1H,S,Golbey Epinal St Nabord,"
			3		",niveau,Nathanael Pedron,"
			4		","
			129.43		",950,"
			90		","
			46		","
			2000		"
C1D,S,Ancerville-bar Le Duc,"
			3		",niveau,Zoe Laurent,"
			4		","
			130.76		",955,"
			91		","
			8		","
			2004		"
K1H,S,Foix Canoe Kayak Eau Vive,"
			3		",niveau,Tom Deconchy,"
			4		","
			131.19		",949,"
			92		","
			47		","
			1999		"
K1D,S,Canoe Kayak Toulousain,"
			3		",niveau,Laurene Roisin,"
			4		","
			131.38		",954,"
			93		","
			14		","
			2001		"
C1H,J,Cesson Sevigne Canoe Kayak Les Poissons Volants,"
			3		",niveau,Elouan Debliquy,"
			4		","
			132.46		",1002,"
			94		","
			25		","
			2006		"
K1D,S,Eaux Vives Oyonnax C.k.,"
			3		",niveau,Adeline Roux,"
			4		","
			135.05		",951,"
			95		","
			15		","
			2002		"
C1H,J,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Titouan Estanguet,"
			4		","
			135.76		",1000,"
			96		","
			26		","
			2007		"
C1H,S,Cadpa Huningue,"
			3		",niveau,Loic Trenchant,"
			4		","
			136.82		",937,"
			97		","
			27		","
			2002		"
K1H,S,C.k.c. Nancy Tomblaine,"
			3		",niveau,Benjamin Dodane,"
			4		","
			137.09		",948,"
			98		","
			48		","
			1998		"
K1H,S,Annonay Canoe Kayak Club,"
			3		",niveau,Arthur Blocquaux,"
			4		","
			137.11		",947,"
			99		","
			49		","
			2005		"
K1H,J,Chambery Le Bourget Canoe Kayak,"
			3		",niveau,Ianis Triomphe,"
			4		","
			138.55		",1005,"
			100		","
			50		","
			2006		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Alex Baldoni,"
			4		","
			140.1		",944,"
			101		","
			51		","
			2003		"
K1D,S,Association Vezere Canoe Kayak,"
			3		",niveau,Lucie Prioux,"
			4		","
			143.95		",947,"
			102		","
			16		","
			1997		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Adrien Mesmoudi,"
			4		","
			144.27		",943,"
			103		","
			52		","
			2002		"
K1H,J,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Jonah Hanrahan,"
			4		","
			144.94		",1002,"
			104		","
			53		","
			2006		"
K1H,J,Eaux Vives Oyonnax C.k.,"
			3		",niveau,Luca Chapatte,"
			4		","
			145.72		",1001,"
			105		","
			54		","
			2006		"
K1D,S,Kayak Club De Metz,"
			3		",niveau,Fransiska Granzow,"
			4		","
			146.59		",944,"
			106		","
			17		","
			2000		"
K1H,J,Ur Tipula,"
			3		",niveau,Unai Oteiza,"
			4		","
			147.07		",1000,"
			107		","
			55		","
			2007		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Arnaud Verrons,"
			4		","
			151.18		",939,"
			108		","
			56		","
			2002		"
K1H,V3,Red Star Club Champigny,"
			3		",niveau,Benoit Chantry,"
			4		","
			152.91		",938,"
			109		","
			57		","
			1979		"
C1H,S,Kayak Club Angerien,"
			3		",niveau,Clement Brotier,"
			4		","
			153.75		",935,"
			110		","
			28		","
			2004		"
K1H,S,Eyrieux Canoe Kayak,"
			3		",niveau,Axel Brossat,"
			4		","
			154.85		",937,"
			111		","
			58		","
			2005		"
K1D,S,Ancerville-bar Le Duc,"
			3		",niveau,Zoe Laurent,"
			4		","
			155.44		",940,"
			112		","
			18		","
			2004		"
C1H,S,Cadpa Huningue,"
			3		",niveau,Julien Pajaud,"
			4		","
			155.89		",932,"
			113		","
			29		","
			2000		"
K1H,S,Ascpa C.k. Strasbourg,"
			3		",niveau,Salim Jemai,"
			4		","
			156.38		",935,"
			114		","
			59		","
			2005		"
K1D,S,Kayak Club De Rennes,"
			3		",niveau,Romane Regnier,"
			4		","
			157.34		",937,"
			115		","
			19		","
			2004		"
K1D,S,Albi Kayak Canoe,"
			3		",niveau,Clemence Lartigue,"
			4		","
			157.76		",933,"
			116		","
			20		","
			2001		"
K1H,V1,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Ludovic Di Nisi,"
			4		","
			158.31		",934,"
			117		","
			60		","
			1989		"
K1D,J,Lannion Canoe Kayak,"
			3		",niveau,LÉna Quemerais,"
			4		","
			160.66		",990,"
			118		","
			21		","
			2006		"
K1D,S,Canoe Kayak Haute Isere,"
			3		",niveau,Marie Amelie Silvin,"
			4		","
			162.18		",926,"
			119		","
			22		","
			2003		"
C1H,S,Les Alligators - Landerneau,"
			3		",niveau,Corentin Oulhen,"
			4		","
			163.38		",930,"
			120		","
			30		","
			1996		"
C1D,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Laurine Salesse,"
			4		","
			163.98		",949,"
			121		","
			9		","
			2003		"
C1D,S,Kayak Club De Rennes,"
			3		",niveau,Romane Regnier,"
			4		","
			164.15		",942,"
			122		","
			10		","
			2004		"
C1H,V1,Canoe Kayak Pontarlier,"
			3		",niveau,Sebastien De Kerleau,"
			4		","
			165.29		",927,"
			123		","
			31		","
			1988		"
C1H,S,Sports Nautiques Asfeld,"
			3		",niveau,Aurelien Merieux Danneaux,"
			4		","
			165.46		",925,"
			124		","
			32		","
			2002		"
C1H,J,Golbey Epinal St Nabord,"
			3		",niveau,Leo Ulmer,"
			4		","
			168.44		",983,"
			125		","
			33		","
			2007		"
K1D,S,Torcy Canoe Kayak,"
			3		",niveau,Clara Delahaye,"
			4		","
			170.42		",923,"
			126		","
			23		","
			2004		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Cedric Landreau,"
			4		","
			170.75		",933,"
			127		","
			61		","
			2002		"
K1H,S,Val De L'indre Canoe Kayak,"
			3		",niveau,Thomas Ukalovic,"
			4		","
			171.36		",932,"
			128		","
			62		","
			2002		"
C1H,S,C.k.c. Beaurainvillois,"
			3		",niveau,Nicolas Ducrocq,"
			4		","
			171.46		",920,"
			129		","
			34		","
			1999		"
K1D,S,Torcy Canoe Kayak,"
			3		",niveau,Loan Battistuzzi,"
			4		","
			173.5		",919,"
			130		","
			24		","
			2002		"
C1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Alex Baldoni,"
			4		","
			173.85		",918,"
			131		","
			35		","
			2003		"
K1H,S,Torcy Canoe Kayak,"
			3		",niveau,Nathan Huguenin,"
			4		","
			174.23		",931,"
			132		","
			63		","
			2004		"
C1H,S,Red Star Club Champigny,"
